Time,Tilt,TiltDiff,Pressure,PressureDiff,Status
72087,21.51,56.20,1007.41,0.06,SAFE
72349,24.47,53.25,1007.40,0.07,SAFE
72611,29.43,48.29,1007.38,0.10,SAFE
72873,30.95,46.77,1007.38,0.09,SAFE
73135,30.88,46.83,1007.36,0.11,SAFE
73397,28.86,48.85,1007.38,0.10,SAFE
73659,26.64,51.07,1007.39,0.08,SAFE
73921,26.71,51.01,1007.38,0.09,SAFE
74183,27.43,50.28,1007.37,0.10,SAFE
74445,26.45,51.26,1007.37,0.11,SAFE
74707,29.39,48.32,1007.36,0.11,SAFE
74969,41.66,36.05,1007.37,0.10,SAFE
75231,65.83,11.89,1007.38,0.09,SAFE
75493,98.04,20.33,1007.38,0.10,SAFE
75755,105.49,27.78,1007.37,0.11,SAFE
76018,123.28,45.57,1007.38,0.10,SAFE
76280,90.83,13.12,1007.38,0.09,SAFE
76542,72.55,5.17,1007.37,0.10,SAFE
76804,81.66,3.95,1007.38,0.09,SAFE
77066,98.41,20.69,1007.39,0.08,SAFE
77328,75.39,2.32,1007.41,0.06,SAFE
77590,61.51,16.20,1007.42,0.05,SAFE
77852,51.88,25.84,1007.44,0.03,SAFE
78114,42.99,34.72,1007.44,0.03,SAFE
78376,35.63,42.08,1007.80,0.33,SAFE
78639,30.36,47.36,1007.67,0.20,SAFE
78901,27.08,50.64,1008.02,0.55,SAFE
79163,25.45,52.27,1007.88,0.40,SAFE
79425,23.86,53.86,1007.77,0.30,SAFE
79687,21.29,56.43,1008.29,0.82,SAFE
79950,19.45,58.27,1009.91,2.44,SAFE
80214,17.48,60.23,1009.20,1.73,SAFE
80476,61.32,16.39,1008.99,1.51,SAFE
80739,72.56,5.16,1011.07,3.60,SAFE
81003,79.10,1.39,1012.78,5.31,SAFE
81267,79.48,1.77,1013.85,6.38,SAFE
81531,100.46,22.74,1014.40,6.93,SAFE
81794,85.04,7.33,1014.06,6.59,SAFE
82057,66.89,10.83,1012.47,5.00,SAFE
82319,94.08,16.36,1011.04,3.57,SAFE
82582,117.66,39.94,1012.34,4.87,SAFE
82846,98.41,20.69,1013.30,5.83,SAFE
83111,82.90,5.18,1013.98,6.51,SAFE
83375,103.78,26.06,1014.50,7.02,SAFE
83640,115.05,37.34,1014.96,7.49,SAFE
83906,125.83,48.11,1012.70,5.23,SAFE
84168,134.91,57.19,1011.15,3.68,SAFE
84431,136.46,58.74,1011.03,3.56,SAFE
84696,130.37,52.66,1010.85,3.38,ALERT
84960,131.04,53.33,1010.65,3.17,ALERT
85224,126.12,48.41,1010.65,3.18,ALERT
85489,117.37,39.65,1010.72,3.24,ALERT
85754,111.56,33.84,1010.71,3.23,ALERT
86019,107.82,30.10,1010.72,3.24,ALERT
86284,104.50,26.78,1010.74,3.27,ALERT
86549,102.20,24.49,1010.76,3.29,ALERT
86814,121.03,43.31,1010.78,3.30,ALERT
87078,100.31,22.60,1010.79,3.32,ALERT
87342,82.47,4.75,1010.80,3.33,ALERT
87607,73.54,4.18,1010.80,3.32,SAFE
87871,58.87,18.84,1010.82,3.34,SAFE
88135,79.09,1.37,1010.79,3.32,SAFE
88400,100.31,22.59,1010.78,3.31,SAFE
88665,104.82,27.10,1010.79,3.32,SAFE
88930,104.75,27.03,1010.80,3.33,SAFE
89195,120.22,42.51,1010.79,3.31,SAFE
89459,98.93,21.22,1010.77,3.30,SAFE
89723,107.84,30.12,1010.79,3.32,ALERT
89987,91.10,13.38,1010.77,3.30,ALERT
90251,72.29,5.42,1010.78,3.30,SAFE
90515,64.35,13.36,1010.77,3.29,SAFE
90779,78.14,0.42,1010.72,3.25,SAFE
91043,93.64,15.92,1010.41,2.94,SAFE
91305,89.61,11.90,1009.49,2.02,SAFE
91567,73.30,4.42,1008.88,1.41,SAFE
91829,59.25,18.46,1008.41,0.94,SAFE
92091,51.08,26.64,1008.11,0.64,SAFE
92353,40.36,37.36,1007.89,0.42,SAFE
92615,44.76,32.95,1007.73,0.26,SAFE
92877,62.09,15.63,1007.64,0.17,SAFE
93139,79.20,1.49,1007.56,0.08,SAFE
93401,62.87,14.85,1007.52,0.05,SAFE
93663,55.17,22.54,1007.44,0.03,SAFE
93925,47.64,30.07,1007.42,0.05,SAFE
94187,63.93,13.78,1007.42,0.06,SAFE
94449,59.97,17.75,1007.40,0.07,SAFE
94711,48.87,28.84,1008.02,0.55,SAFE
94973,41.84,35.87,1010.25,2.78,SAFE
95236,36.05,41.67,1012.01,4.54,SAFE
95500,32.19,45.53,1013.27,5.79,SAFE
95764,61.48,16.23,1014.04,6.57,SAFE
96028,90.90,13.19,1014.54,7.07,SAFE
96293,111.23,33.51,1014.84,7.37,SAFE
96557,123.50,45.78,1015.12,7.64,SAFE
96821,103.25,25.54,1012.82,5.35,SAFE
97083,96.24,18.53,1011.19,3.72,SAFE
97345,116.68,38.96,1011.52,4.05,SAFE
97610,92.14,14.42,1012.23,4.76,ALERT
97875,72.17,5.55,1012.25,4.78,SAFE
98137,92.01,14.29,1010.80,3.33,SAFE
98400,105.63,27.91,1010.92,3.45,SAFE
98664,110.48,32.76,1013.25,5.78,SAFE
98928,115.56,37.85,1014.98,7.50,SAFE
99192,129.56,51.84,1012.71,5.24,SAFE
99456,130.99,53.27,1011.12,3.65,SAFE
99719,135.81,58.09,1010.01,2.53,ALERT
99982,134.87,57.15,1009.99,2.52,ALERT
100247,127.39,49.68,1009.21,1.74,ALERT
100512,118.90,41.19,1010.40,2.93,SAFE
100776,116.05,38.34,1011.16,3.69,SAFE
101041,110.42,32.70,1010.02,2.54,SAFE
101307,106.96,29.24,1009.26,1.79,SAFE
101571,105.89,28.17,1011.16,3.69,SAFE
101836,105.34,27.62,1010.02,2.55,SAFE
102099,104.73,27.02,1009.22,1.75,SAFE
102363,117.03,39.31,1008.66,1.19,SAFE
